player_id,name,nation,position
player_matheus_cunha,Matheus Cunha,BRA,FW
player_joshua_zirkzee,Joshua Zirkzee,NED,FW
player_tyrell_malacia,Tyrell Malacia,NED,DF
player_patrick_dorgu,Patrick Dorgu,DEN,DF
player_leny_yoro,Leny Yoro,FRA,DF
player_amad_diallo,Amad Diallo,CIV,FW
player_casemiro,Casemiro,BRA,MF
player_bryan_mbeumo,Bryan Mbeumo,CMR,FW
player_tom_heaton,Tom Heaton,ENG,GK
player_luke_shaw,Luke Shaw,ENG,DF
player_manuel_ugarte,Manuel Ugarte,URU,MF
player_ayden_heaven,Ayden Heaven,ENG,DF
player_benjamin_sesko,Benjamin Šeško,SVN,FW
player_senne_lammens,Senne Lammens,BEL,GK
player_chido_obi,Chido Obi,DEN,FW
player_tyler_fredricson,Tyler Fredricson,ENG,DF
player_diego_leon,Diego León,PAR,DF
player_kobbie_mainoo,Kobbie Mainoo,ENG,MF
player_james_trafford,James Trafford,ENG,GK
player_ruben_dias_vice_captain,Rúben Dias (vice-captain),POR,DF
player_tijjani_reijnders,Tijjani Reijnders,NED,MF
player_john_stones_vice_captain,John Stones (vice-captain),ENG,DF
player_nathan_ake,Nathan Aké,NED,DF
player_omar_marmoush,Omar Marmoush,EGY,FW
player_mateo_kovacic,Mateo Kovačić,CRO,MF
player_erling_haaland_vice_captain,Erling Haaland (vice-captain),NOR,FW
player_rayan_cherki,Rayan Cherki,FRA,MF
player_jeremy_doku,Jérémy Doku,BEL,MF
player_marcus_bettinelli,Marcus Bettinelli,ENG,GK
player_nico_gonzalez,Nico González,ESP,MF
player_rodri_vice_captain,Rodri (vice-captain),ESP,MF
player_stefan_ortega,Stefan Ortega,GER,GK
player_bernardo_silva_captain,Bernardo Silva (captain),POR,MF
player_rayan_ait_nouri,Rayan Aït-Nouri,ALG,DF
player_josko_gvardiol,Joško Gvardiol,CRO,DF
player_gianluigi_donnarumma,Gianluigi Donnarumma,ITA,GK
player_savinho,Savinho,BRA,MF
player_matheus_nunes,Matheus Nunes,POR,MF
player_nico_o_reilly,Nico O'Reilly,ENG,MF
player_kalvin_phillips,Kalvin Phillips,ENG,MF
player_abdukodir_khusanov,Abdukodir Khusanov,UZB,DF
player_phil_foden,Phil Foden,ENG,MF
player_oscar_bobb,Oscar Bobb,NOR,MF
player_rico_lewis,Rico Lewis,ENG,DF
player_neco_williams,Neco Williams,WAL,DF
player_morato,Morato,BRA,DF
player_murillo,Murillo,BRA,DF
player_ibrahim_sangare,Ibrahim Sangaré,CIV,MF
player_callum_hudson_odoi,Callum Hudson-Odoi,ENG,FW
player_elliot_anderson,Elliot Anderson,ENG,MF
player_taiwo_awoniyi,Taiwo Awoniyi,NGA,FW
player_morgan_gibbs_white_vice_captain,Morgan Gibbs-White (vice-captain),ENG,MF
player_chris_wood,Chris Wood,NZL,FW
player_douglas_luiz_on_loan_from_juventus,Douglas Luiz (on loan from Juventus),BRA,MF
player_john_victor,John Victor,BRA,GK
player_dan_ndoye,Dan Ndoye,SUI,FW
player_arnaud_kalimuendo,Arnaud Kalimuendo,FRA,FW
player_nicolas_dominguez,Nicolás Domínguez,ARG,MF
player_angus_gunn,Angus Gunn,SCO,GK
player_igor_jesus,Igor Jesus,BRA,FW
player_omari_hutchinson,Omari Hutchinson,ENG,FW
player_ryan_yates_captain,Ryan Yates (captain),ENG,MF
player_jair_cunha,Jair Cunha,BRA,DF
player_james_mcatee,James McAtee,ENG,MF
player_matz_sels,Matz Sels,BEL,GK
player_dilane_bakwa,Dilane Bakwa,FRA,FW
player_willy_boly,Willy Boly,CIV,DF
player_nikola_milenkovic,Nikola Milenković,SRB,DF
player_ola_aina,Ola Aina,NGA,DF
player_oleksandr_zinchenko_on_loan_from_arsenal,Oleksandr Zinchenko (on loan from Arsenal),UKR,DF
player_nicolo_savona,Nicolò Savona,ITA,DF
player_zach_abbott,Zach Abbott,ENG,DF
player_jakub_stolarczyk,Jakub Stolarczyk,POL,GK
player_wout_faes,Wout Faes,BEL,DF
player_ben_nelson,Ben Nelson,ENG,DF
player_caleb_okoli,Caleb Okoli,ITA,DF
player_jordan_james_on_loan_from_rennes,Jordan James (on loan from Rennes),WAL,MF
player_abdul_fatawu,Abdul Fatawu,GHA,FW
player_harry_winks,Harry Winks,ENG,MF
player_jordan_ayew,Jordan Ayew,GHA,FW
player_stephy_mavididi,Stephy Mavididi,ENG,FW
player_fran_vieites,Fran Vieites,ESP,GK
player_bobby_de_cordova_reid,Bobby De Cordova-Reid,JAM,FW
player_harry_souttar,Harry Souttar,AUS,DF
player_victor_kristiansen,Victor Kristiansen,DEN,DF
player_hamza_choudhury,Hamza Choudhury,BAN,MF
player_julian_carranza_on_loan_from_feyenoord,Julián Carranza (on loan from Feyenoord),ARG,FW
