coach_id,name
coach_norman_low,Norman Low
coach_archie_macaulay,Archie Macaulay
coach_willie_reid,Willie Reid
coach_ron_ashman,Ron Ashman
coach_lol_morgan,Lol Morgan
coach_john_bond,John Bond
coach_ken_brown,Ken Brown
coach_dave_stringer,Dave Stringer
coach_mike_walker,Mike Walker
coach_john_deehan,John Deehan
coach_bryan_hamilton,Bryan Hamilton
coach_nigel_worthington,Nigel Worthington
coach_peter_grant,Peter Grant
coach_bryan_gunn,Bryan Gunn
coach_neil_adams,Neil Adams
coach_alex_neil,Alex Neil
coach_david_wagner,David Wagner
coach_johannes_hoff_thorup,Johannes Hoff Thorup
coach_liam_manning,Liam Manning
coach_louis_ford,Louis Ford
coach_edward_stephenson,Edward Stephenson
coach_frank_heaven,Frank Heaven
coach_fred_everiss,Fred Everiss
coach_jack_smith,Jack Smith
coach_jimmy_hagan,Jimmy Hagan
coach_alan_ashman,Alan Ashman
coach_johnny_giles,Johnny Giles
coach_tony_mowbray,Tony Mowbray
